,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도,LINK
0,공연장,휴업,서울특별시 종로구 동숭동 1-58,200153.322797562,453332.518876344,126.99963353263438,37.58229359351896,1000039000.0
1,공연장,휴업,서울특별시 종로구 혜화동 90-18 석정홀딩스 빌딩,200113.874740135,453549.526436303,126.9991869437069,37.58424880411346,1000015603.0
2,공연장,휴업,서울특별시 종로구 명륜2가 8-9 지하1층,199933.543569824,453600.903598962,126.99714529679444,37.58471169703305,1000018901.0
3,공연장,휴업,서울특별시 종로구 동숭동 199-33,200341.000623629,452912.172681979,127.00175813219576,37.57850629428407,1000036100.0
4,공연장,휴업,서울특별시 종로구 동숭동 199-33,200341.000623629,452912.172681979,127.00175813219576,37.57850629428407,1000036100.0
5,공연장,영업/정상,서울특별시 용산구 동자동 45,197563.069805939,449934.157783456,126.97032007662048,37.55167136344387,1020021802.0
6,공연장,영업/정상,서울특별시 용산구 한남동 714번지,200423.418748471,448324.779015334,127.00268892216508,37.53717431381388,1020044200.0
7,공연장,영업/정상,서울특별시 용산구 한남동 683-132번지,199990.489238997,448264.185008539,126.99779055531056,37.53662843287638,1020044200.0
8,공연장,영업/정상,서울특별시 용산구 갈월동 98-11번지,197492.793337805,448731.316989981,126.96952899354773,37.54083367650072,1020015102.0
9,공연장,영업/정상,서울특별시 용산구 갈월동 98-11번지,197492.793337805,448731.316989981,126.96952899354773,37.54083367650072,1020015102.0
10,공연장,영업/정상,서울특별시 서초구 서초동 1450-2 디에스아이빌딩 3층402호,201211.066157382,442172.712321113,127.01159115427056,37.48174371711751,1210008803.0
11,공연장,영업/정상,서울특별시 서초구 양재동 20-4,203327.153493401,442032.622260635,127.03551526508672,37.480476456260426,1210042600.0
12,공연장,영업/정상,서울특별시 서초구 서초동 1720-4번지,200573.740062226,443469.533958033,127.00438636705996,37.49342865965606,1210020500.0
13,공연장,영업/정상,서울특별시 서초구 서초동 700 예술의전당,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
14,공연장,영업/정상,서울특별시 서초구 방배동,198969.41821936,443432.991860583,126.98624494332822,37.49309890715213,1210018103.0
15,공연장,영업/정상,서울특별시 서초구 방배동,198969.41821936,443432.991860583,126.98624494332822,37.49309890715213,1210018103.0
16,공연장,영업/정상,서울특별시 서초구 서초동 1708-7,200660.72602366,443448.509483173,127.00536997680037,37.49323917713112,1210052800.0
17,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
18,공연장,영업/정상,서울특별시 종로구 명륜1가 36-4번지 지하1층,199878.08705636,453933.055898075,126.99651735181136,37.58770433153491,1000018901.0
19,공연장,영업/정상,서울특별시 종로구 낙원동 284-6,198852.959716775,452253.942584507,126.98491350706335,37.57257497056964,1000027000.0
20,공연장,영업/정상,서울특별시 종로구 동숭동 1-67 지하2.3층,200211.341833282,453309.498946546,127.00029037927456,37.582086179728805,1000038900.0
21,공연장,영업/정상,"서울특별시 종로구 동숭동 1-92 지하1층,2층",200280.193994523,453192.388711856,127.00106983903989,37.581031019108735,1000037400.0
22,공연장,영업/정상,서울특별시 서초구 서초동 흰물결아트센터,200573.740062226,443469.533958033,127.00438636705996,37.49342865965606,1210020500.0
23,공연장,영업/정상,서울특별시 종로구 견지동 27-11 한국불교역사문화기념관 지하2층,198352.391718509,452460.809859299,126.97924667739647,37.57443802442506,1000008404.0
24,공연장,영업/정상,서울특별시 종로구 동숭동 1-80 대학로문화공간,200251.517803689,453331.83675612,127.0007452281594,37.582287433015296,1000038900.0
25,공연장,영업/정상,서울특별시 종로구 사직동 284-1,196809.4580779,452443.309152474,126.9617805690985,37.57427618587114,1000034300.0
26,공연장,영업/정상,서울특별시 종로구 연지동 270 연강빌딩,200038.343054497,452178.774541021,126.9983318530428,37.5718985120342,1000025400.0
27,공연장,영업/정상,서울특별시 종로구 명륜1가 46-11,199909.845315264,453835.64775701,126.9968769433653,37.58682670434816,1000041400.0
28,공연장,영업/정상,서울특별시 종로구 동숭동 1-145,200297.929299821,453163.458941022,127.00127061325551,37.58077036150869,1000037300.0
29,공연장,영업/정상,서울특별시 종로구 동숭동 1-80 대학로문화공간,200251.517803689,453331.83675612,127.0007452281594,37.582287433015296,1000038900.0
30,공연장,영업/정상,서울특별시 서초구 반포동 19-1번지 고속터미널 5층,200115.143202807,444741.437478089,126.99920069681843,37.5048886352822,1210026002.0
31,공연장,영업/정상,서울특별시 서초구 반포동 19-4번지 고속버스터미널 5층,200554.74395758,444811.364826199,127.00417245550028,37.505518550469816,1210027401.0
32,공연장,영업/정상,서울특별시 서초구 반포동 19-4번지 고속버스터미날 5층,200554.74395758,444811.364826199,127.00417245550028,37.505518550469816,1210027401.0
33,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
34,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
35,공연장,영업/정상,서울특별시 서초구 서초동 1355 한전아트센터,202406.470363348,442611.972829952,127.02510793177125,37.48569920347182,1210003800.0
36,공연장,영업/정상,서울특별시 서초구 서초동 1753,200854.339746219,441718.211042903,127.00755747581393,37.47764902581657,1210011102.0
37,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
38,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
39,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
40,공연장,영업/정상,서울특별시 서초구 서초동 700,201278.647889967,442099.753091778,127.01235512105876,37.481086266985,1210008803.0
42,공연장,영업/정상,서울특별시 종로구 동숭동 1-35,200114.951195492,453421.325549781,126.99919912209457,37.58309373215116,1000017801.0
43,공연장,영업/정상,서울특별시 종로구 동숭동 1-115 공공일호,200137.118682246,453249.562595164,126.99945007267802,37.58154617032216,1000019001.0
44,공연장,영업/정상,서울특별시 종로구 명륜2가 21-18,199967.186078655,453492.350967262,126.99752620067017,37.58373365739875,1000019001.0
45,공연장,영업/정상,서울특별시 종로구 동숭동 187-12,200309.358120637,453044.212129777,127.0013999599756,37.579695960963406,1000036500.0
46,공연장,영업/정상,서울특별시 종로구 세종로 81-3,197804.357783157,452216.539274871,126.9730436227856,37.57223599578701,1000030800.0
47,공연장,영업/정상,서울특별시 영등포구 여의도동 12번지,193293.251953215,447448.342915454,126.9220228902006,37.52925290764505,1180036001.0
48,공연장,영업/정상,서울특별시 영등포구 당산동3가 3번지,191103.173383715,447109.925701334,126.89725006704332,37.52618512306972,1180093500.0
49,공연장,영업/정상,서울특별시 종로구 동숭동 1-140,200257.190354048,453070.460958589,127.00080938014892,37.57993247175008,1000037300.0
50,공연장,영업/정상,서울특별시 종로구 동숭동 1-45 자유빌딩 지2층,200249.833658824,453384.420169015,127.0007261747323,37.58276120258125,1000039000.0
51,공연장,영업/정상,서울특별시 종로구 소격동 144-2 지하1층,198326.378176607,453014.059924892,126.97895088948974,37.5794226861788,1000014302.0
52,공연장,영업/정상,서울특별시 종로구 이화동 139번지 대학로 JTN아트홀,200278.492507743,452703.843003362,127.00105043374994,37.57662928794747,1000009603.0
53,공연장,영업/정상,서울특별시 종로구 이화동 139번지 예술마당,200278.492507743,452703.843003362,127.00105043374994,37.57662928794747,1000009603.0
54,공연장,영업/정상,"서울특별시 양천구 목동 923-5 2,3층",188572.108662809,447198.912625565,126.8686152565686,37.52695884127674,1140018700.0
55,공연장,영업/정상,서울특별시 영등포구 당산동4가 93-1번지 TCC Center,190682.998388881,447452.686098735,126.89249233521429,37.529269194476406,1180100000.0
56,공연장,영업/정상,서울특별시 양천구 신정동 322,187841.832937812,446044.946931541,126.86037290038824,37.51655231113327,1140006100.0
57,공연장,영업/정상,서울특별시 양천구 목동 918,188924.253025894,447617.64711448,126.87259268691096,37.53073592396341,1140282001.0
58,공연장,영업/정상,서울특별시 종로구 동숭동 1-58,200153.322797562,453332.518876344,126.99963353263438,37.58229359351896,1000039000.0
59,공연장,영업/정상,서울특별시 종로구 동숭동 1-86,200281.963717526,453295.025319271,127.00108990471632,37.58195576039162,1000039000.0
60,공연장,영업/정상,서울특별시 종로구 이화동 139번지 예술마당,200278.492507743,452703.843003362,127.00105043374994,37.57662928794747,1000009603.0
61,공연장,영업/정상,서울특별시 종로구 이화동 139번지 대학로 JTN아트홀,200278.492507743,452703.843003362,127.00105043374994,37.57662928794747,1000009603.0
62,공연장,영업/정상,서울특별시 종로구 관훈동 21 인사아트플라자,198659.155041999,452394.672702179,126.9827194005759,37.57384265605148,1000009102.0
63,공연장,영업/정상,"서울특별시 종로구 동숭동 1-181 지하 1,2층",200279.216755423,453107.344919532,127.00105875070162,37.5802647863688,1000037400.0
64,공연장,영업/정상,"서울특별시 종로구 동숭동 1-181 3,4층",200279.216755423,453107.344919532,127.00105875070162,37.5802647863688,1000037400.0
65,공연장,영업/정상,서울특별시 종로구 세종로 81-3,197804.357783157,452216.539274871,126.9730436227856,37.57223599578701,1000030800.0
66,공연장,영업/정상,서울특별시 종로구 세종로 81-3 세종문화회관,197804.357783157,452216.539274871,126.9730436227856,37.57223599578701,1000030800.0
67,공연장,영업/정상,서울특별시 서대문구 연희동 193-10번지,193621.749685564,451485.016618569,126.9257038557846,37.565625314909816,1130020302.0
68,공연장,영업/정상,서울특별시 종로구 동숭동 1-79,200259.762502776,453309.399383479,127.00083856293696,37.58208527369129,1000038900.0
69,공연장,영업/정상,서울특별시 종로구 동숭동 1-97 스타리움빌딩,200242.359769282,453256.488951828,127.00064152898372,37.58160856154044,1000039000.0
70,공연장,영업/정상,서울특별시 종로구 동숭동 1-86,200281.963717526,453295.025319271,127.00108990471632,37.58195576039162,1000039000.0
71,공연장,영업/정상,서울특별시 종로구 동숭동 1-133 지하1층,200240.881673889,453113.662949511,127.00062476081376,37.58032171909576,1000037400.0
72,공연장,영업/정상,"서울특별시 종로구 동숭동 1-42 지하1,2층",200221.159827079,453443.564354976,127.00040156011768,37.58329408873357,1000015603.0
73,공연장,영업/정상,서울특별시 서초구 반포동 114-3,199155.94319235,444069.63527203,126.9883533503336,37.498835262433225,1210055000.0
74,공연장,영업/정상,서울특별시 서초구 반포동 74-7,199957.680853034,443918.658141279,126.99741997864857,37.49747540039264,1210022000.0
75,공연장,영업/정상,서울특별시 종로구 동숭동 1-66,200203.382555669,453354.538289057,127.00020027863758,37.58249197918133,1000039000.0
76,공연장,영업/정상,서울특별시 종로구 동숭동 1-66,200203.382555669,453354.538289057,127.00020027863758,37.58249197918133,1000039000.0
77,공연장,영업/정상,서울특별시 종로구 낙원동 88-2번지 양지빌딩,198945.860626514,452289.752900745,126.98596507534036,37.57289773454267,1000007801.0
78,공연장,영업/정상,서울특별시 종로구 명륜2가 21-10,199982.393297766,453511.50028744,126.99769836741798,37.58390619155068,1000015503.0
79,공연장,영업/정상,서울특별시 영등포구 영등포동5가 24번지 동남상가아파트,191590.878296395,446489.41953806,126.90277452990686,37.52059900725232,1180020703.0
80,공연장,영업/정상,서울특별시 종로구 혜화동 179-4,200121.775059748,453468.191493695,126.99927638163324,37.58351598732308,1000015503.0
81,공연장,영업/정상,서울특별시 종로구 동숭동 50-42,200307.41543383,453261.085994363,127.0013780388353,37.58164996540552,1000037400.0
82,공연장,영업/정상,서울특별시 성북구 동소문동5가 15,201169.222981659,454397.181151468,127.01113645408807,37.591885386502994,1070007701.0
83,공연장,영업/정상,서울특별시 서초구 잠원동 76-5번지 금정빌딩,200026.042318021,444882.738380211,126.99819299341009,37.50616175406028,1210168900.0
84,공연장,영업/정상,서울특별시 성북구 동소문동1가 48,200551.64665413,454133.81425589,127.00414361138812,37.58951302457796,1000040500.0
85,공연장,영업/정상,서울특별시 마포구 서교동 368-22 서문빌딩,192846.735237987,449930.292956528,126.91694693538685,37.551611684749965,1130002202.0
86,공연장,영업/정상,서울특별시 영등포구 여의도동 18 한국방송공사,192538.786642476,447017.15917925,126.91349183309548,37.52536212557401,1180132501.0
87,공연장,영업/정상,서울특별시 금천구 시흥동 911-7,191853.267992546,438727.034928282,126.90582921253842,37.45066231200075,1170001901.0
88,공연장,영업/정상,서울특별시 종로구 동숭동 1-89 석마빌딩,200285.865437991,453215.079141585,127.00113405295193,37.58123545542341,1000039000.0
89,공연장,영업/정상,서울특별시 종로구 동숭동 1-89 석마빌딩,200285.865437991,453215.079141585,127.00113405295193,37.58123545542341,1000039000.0
90,공연장,영업/정상,서울특별시 종로구 동숭동 1-36,200131.419236773,453430.671944131,126.99938556467458,37.5831779408058,1000017801.0
91,공연장,영업/정상,서울특별시 종로구 혜화동 201,200156.610752518,453486.148396679,126.9996707758692,37.58367777366624,1000015603.0
92,공연장,영업/정상,서울특별시 마포구 공덕동 31-1번지 YD레지던스,196504.095392656,449848.162374003,126.9583364295373,37.55089307185881,1130050600.0
93,공연장,영업/정상,서울특별시 구로구 오류동 64-28,186433.351493383,443741.776961018,126.84448377349688,37.49578115485512,1160001401.0
94,공연장,영업/정상,서울특별시 마포구 서교동 337-11 구름닮은 빌딩,193615.994369006,450215.595387008,126.9256498680509,37.55418793156212,1130014601.0
95,공연장,영업/정상,서울특별시 송파구 방이동 45-2 금복빌딩,210031.154818512,446040.044744713,127.11136439541023,37.516535251448,1230030701.0
96,공연장,영업/정상,서울특별시 종로구 이화동 36-2,200339.355459063,452844.349652172,127.00173948230638,37.57789521827426,1000009603.0
97,공연장,영업/정상,서울특별시 강남구 청담동 85-18번지 엠디가슴성형센터빌딩,203451.881831397,446917.759466758,127.03694792228453,37.5244910052236,1220096200.0
98,공연장,영업/정상,서울특별시 용산구 한강로2가 87-1,197443.095459844,447699.684998435,126.968970341363,37.53153860386778,1020057401.0
99,공연장,영업/정상,서울특별시 용산구 청파동3가 24-45번지,197295.658078644,449099.646875153,126.96729701304456,37.54415172893498,1020018502.0
100,공연장,영업/정상,서울특별시 양천구 목동 923-6번지 예술인회관,188493.762740612,447213.539278579,126.86772870604588,37.527089647331856,1140018700.0
101,공연장,영업/정상,서울특별시 양천구 목동 923-6번지 예술인회관,188493.762740612,447213.539278579,126.86772870604588,37.527089647331856,1140018700.0
103,공연장,영업/정상,서울특별시 강남구 신사동 652-3번지 YK빌딩,203239.081151107,446792.976730375,127.03454006213012,37.523367475616425,1220094200.0
105,공연장,영업/정상,서울특별시 성동구 성수동2가 225-10번지,205092.350719158,448270.804197558,127.0555150851124,37.53667437320776,1030003603.0
106,공연장,영업/정상,서울특별시 종로구 동숭동 25-11,200314.460005252,453348.91678333,127.0014578218392,37.58244130676008,1000039000.0
107,공연장,영업/정상,서울특별시 종로구 혜화동 179-4번지,200121.775059748,453468.191493695,126.99927638163324,37.58351598732308,1000015503.0
108,공연장,영업/정상,서울특별시 구로구 구로동 1127-22 티타운빌딩,190988.09025645,442224.898988179,126.89600840975356,37.48217007180437,1160020300.0
109,공연장,영업/정상,서울특별시 구로구 구로동 1127-22번지 티타운빌딩,190988.09025645,442224.898988179,126.89600840975356,37.48217007180437,1160020300.0
110,공연장,영업/정상,서울특별시 도봉구 도봉동 8 평화문화진지,204060.543725272,465460.429107353,127.04393466221984,37.69155466342861,1090041000.0
111,공연장,영업/정상,서울특별시 용산구 용산동2가 17번지,198644.481059659,449268.543468484,126.98255934020756,37.54567653638356,1020050300.0
112,공연장,영업/정상,서울특별시 강남구 청담동 86번지,203432.518476036,446848.284081545,127.03672855477087,37.5238651064437,1220096100.0
113,공연장,영업/정상,서울특별시 성북구 상월곡동 24-348 성북정보도서관,204411.105112221,455854.161229368,127.04785214179276,37.60500293698998,1070016301.0
114,공연장,영업/정상,서울특별시 강남구 청담동 100-7 예인빌딩 지하 1층,204013.18117006,447200.862869015,127.04329917726102,37.527039520620335,1220035802.0
115,공연장,영업/정상,서울특별시 송파구 오금동 152-3,212090.685323707,444169.045594177,127.13462985319065,37.49965311124401,1230065700.0
116,공연장,영업/정상,서울특별시 성북구 성북동1가 35-29 우성,200386.709769699,454046.197498032,127.00227609162124,37.58872368315203,1000040500.0
117,공연장,영업/정상,서울특별시 종로구 명륜2가 13 성지빌딩,199934.030448564,453583.450549667,126.99715081218464,37.58455444761586,1000018901.0
120,공연장,영업/정상,서울특별시 종로구 동숭동 1-92 태원빌딩,200280.193994523,453192.388711856,127.00106983903989,37.581031019108735,1000037400.0
121,공연장,영업/정상,서울특별시 강북구 우이동 100-5번지 화성빌딩,201049.029062927,461366.546648147,127.00978490554252,37.6546780971676,1080032400.0
122,공연장,영업/정상,서울특별시 종로구 명륜2가 8번지 어젤리아 명륜2,199884.924610815,453572.123373062,126.99659485594098,37.58445238309643,1000019001.0
123,공연장,영업/정상,서울특별시 마포구 신수동 1-1 서강대학교,194564.277152493,449886.700377146,126.93638409173263,37.55123076494096,1130049900.0
124,공연장,영업/정상,서울특별시 서초구 서초동 1623-12 블루타워,201292.84089132,442741.789520643,127.01251665829952,37.48687100415826,1210050700.0
125,공연장,영업/정상,서울특별시 광진구 중곡동 252-12 우인아트홀,206642.970467607,451165.753463964,127.07308535405822,37.562747833413965,1050022100.0
126,공연장,영업/정상,서울특별시 중구 장충동2가 202번지,200463.625303538,450497.460903907,127.0031450195836,37.55674997726851,1010020700.0
127,공연장,영업/정상,서울특별시 종로구 명륜2가 41-4,199932.22272299,453488.472209976,126.99713036290304,37.583698705981725,1000018901.0
128,공연장,영업/정상,서울특별시 중구 정동 1-54번지,197636.196778725,451714.027699327,126.97114174063668,37.56770799948514,1000006401.0
