,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도,LINK
1,일반야영장업,영업/정상,서울특별시 서초구 신원동 168,205229.00565449,437873.21212835,127.05698832570408,37.44299132746483,1210031900.0
2,일반야영장업,영업/정상,서울특별시 구로구 항동 149-1,185004.520207159,441962.871693858,126.8283626608984,37.47973109338819,1160269400.0
4,일반야영장업,영업/정상,서울특별시 은평구 진관동 335-1 북한산둘레캠핑장,194522.089236978,460599.129167862,126.93582559690309,37.6477476641474,1110044203.0
6,일반야영장업,영업/정상,서울특별시 강북구 우이동 317 우이동 가족캠핑장 방문자센터,200948.846189643,462561.261924929,127.00865105105348,37.6654422745919,1080038601.0
8,일반야영장업,영업/정상,서울특별시 은평구 진관동 330-14 북한산글램핑장,194453.569951258,460859.542618718,126.93504718930922,37.6500935091065,1110045401.0
9,일반야영장업,영업/정상,서울특별시 성동구 성수동1가 643,203672.17913677,448820.845852735,127.03944939363228,37.54163685423366,1030024400.0
10,일반야영장업,영업/정상,서울특별시 강동구 둔촌동 562-9번지,213480.124886733,448217.191043243,127.15041657775537,37.536107480074826,1240008303.0
